time,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2,THC,WD_HR(SIN),WD_HR(COS),WD_HR,WS_HR,aqi,Index
2023/1/1 00:00,17.9,2.21,0.45,0.13,0.8,14,14.9,13.9,30,14,81,1.9,2.34,-0.965925826,0.258819045,285,0.2,28,1
2023/1/1 01:00,17.7,2.18,0.42,0.12,0.6,15.7,16.4,12.4,27,21,85,1.2,2.3,-0.656059029,0.75470958,319,0.2,31,2
2023/1/1 02:00,17.6,2.22,0.46,0.14,0.4,15,15.5,11.3,29,20,86,1.1,2.36,0.069756474,-0.99756405,176,0.1,38,3
2023/1/1 03:00,17.2,2.2,0.5,0.14,1.3,17.9,19.2,4.3,36,27,89,1.1,2.34,0.69465837,-0.7193398,136,0.8,44,4
2023/1/1 04:00,17,2.22,0.46,0.13,1.1,15.8,17,5.7,32,28,90,0.9,2.35,-0.970295726,-0.241921896,256,0.6,54,5
2023/1/1 05:00,17,2.26,0.44,0.12,1,14.8,15.8,7,26,20,92,0.8,2.38,-0.829037573,-0.559192903,236,0.2,61,6
2023/1/1 06:00,17.3,2.28,0.49,0.2,1.5,16.1,17.6,5.2,35,28,90,1,2.48,0.64278761,-0.766044443,140,0.2,61,7
2023/1/1 07:00,17.4,2.37,0.64,0.28,6.6,19,25.7,2.3,38,32,90,1,2.65,-0.669130606,-0.743144825,222,0.1,66,8
2023/1/1 08:00,17.6,2.7,0.7,0.29,11.8,18.3,30.2,3.2,41,38,92,1,2.99,-0.587785252,-0.809016994,216,0,69,9
2023/1/1 09:00,18,2.94,0.75,0.27,10.3,17.9,28.3,6.7,48,39,91,1.1,3.21,-0.992546152,-0.121869343,263,0.4,75,10
2023/1/1 10:00,18.7,2.48,0.66,0.24,9.9,19.7,29.6,13,42,32,89,1.3,2.72,-0.99756405,0.069756474,274,0.5,84,11
2023/1/1 11:00,20.1,2.24,0.56,0.16,6.2,19.3,25.6,22.1,33,25,84,1.3,2.4,-0.777145961,0.629320391,309,0.7,88,12
2023/1/1 12:00,21,2.12,0.4,0.1,2.5,12.4,14.9,28.6,28,19,81,1.6,2.22,-0.601815023,0.79863551,323,0.3,87,13
2023/1/1 13:00,21.2,2.15,0.43,0.1,2.1,13.3,15.4,29.9,44,23,80,1.7,2.25,-0.99756405,0.069756474,274,1.3,82,14
2023/1/1 14:00,21.4,2.11,0.4,0.09,1.5,12.7,14.2,33.7,36,22,78,1.4,2.2,-0.615661475,0.788010754,322,0.3,77,15
2023/1/1 15:00,21.5,2.1,0.37,0.08,1.1,12.3,13.5,33.4,36,15,79,1.3,2.18,-0.224951054,0.974370065,347,0.5,74,16
2023/1/1 16:00,20.9,2.07,0.31,0.05,0.6,12,12.7,31.9,47,18,81,1,2.12,-0.342020143,0.939692621,340,1.3,70,17
2023/1/1 17:00,20.4,2.11,0.39,0.09,0.5,13.1,13.7,26.8,44,16,84,0.9,2.2,0.034899497,0.999390827,2,0.8,69,18
2023/1/1 18:00,20.1,2.09,0.44,0.11,0.4,15,15.5,23.3,48,17,85,1.1,2.2,-0.766044443,0.64278761,310,0.8,66,19
2023/1/1 19:00,19.7,2.11,0.42,0.1,0.5,14.9,15.5,21.9,44,19,86,1.1,2.21,-0.052335956,0.998629535,357,0.7,63,20
