time,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2,THC,WD_HR(SIN),WD_HR(COS),WD_HR,WIND_SPEED,WS_HR,aqi
2022/1/1 00:00,15.4,2.24,0.44,0.17,1.5,21.7,23.3,6.8,41,27,78,2.1,2.41,-0.999847695,-0.017452406,269,1.9,1.4,54
2022/1/1 00:57,15.1,2.29,0.45,0.17,1.9,21.2,23.2,7.1,45,31,80,2.1,2.46,-0.992546152,0.121869343,277,1.1,1,60
2022/1/1 01:55,15.8,2.22,0.45,0.14,1.7,21.7,23.5,9.3,41,28,78,2,2.36,0.190808995,0.981627183,11,1.1,0.3,67
2022/1/1 03:07,15.5,2.85,0.47,0.19,2,21.3,23.3,5.4,42,31,79,1.8,3.04,0.573576436,-0.819152044,145,0.9,0.4,71
2022/1/1 04:04,15.3,2.47,0.49,0.23,2.9,22.7,25.6,1.5,47,35,81,1.8,2.7,-0.342020143,-0.939692621,200,1.1,0.4,75
2022/1/1 05:02,15,2.38,0.45,0.2,2.7,21.4,24.1,2,41,32,83,1.6,2.58,-0.999390827,-0.034899497,268,0.4,0.6,79
2022/1/1 06:00,16,2.33,0.41,0.16,2.1,20.7,22.9,7,29,22,79,1.8,2.49,0.156434465,0.987688341,9,1.3,0.7,81
2022/1/1 06:57,16.5,2.23,0.44,0.15,3.5,18.8,22.4,9.9,26,18,78,2.1,2.38,0.529919264,0.848048096,32,1.5,1.1,79
2022/1/1 07:55,17.5,2.19,0.47,0.15,5.6,15.5,21.1,13.7,38,22,75,1.6,2.34,0.64278761,0.766044443,40,1.7,1.2,75
2022/1/1 09:07,18.8,2.14,0.38,0.11,4.5,13.7,18.2,24.9,26,14,66,1.4,2.25,0.258819045,0.965925826,15,2.9,1.7,72
2022/1/1 10:04,20.2,2.1,0.29,0.06,2.8,9,11.8,35.6,14,12,56,1.4,2.16,0.241921896,0.970295726,14,2.5,2.3,67
2022/1/1 11:02,21.7,2.08,0.26,0.04,2.6,7.1,9.8,40.7,19,11,44,1.3,2.12,0.139173101,0.990268069,8,3.1,2.8,63
2022/1/1 12:00,22.6,2.07,0.25,0.04,2.1,5.7,7.9,42.9,20,11,37,1.4,2.11,0.292371705,0.956304756,17,3.2,2.9,60
2022/1/1 12:57,23.4,2.07,0.25,0.05,2.2,6.5,8.8,41.7,8,8,34,1.3,2.12,0.087155743,0.996194698,5,2.4,2.3,55
2022/1/1 13:55,24.2,2.07,0.25,0.07,2.1,6.7,8.9,41.7,9,4,31,1.3,2.14,0.087155743,0.996194698,5,2.6,2,50
2022/1/1 15:07,24.3,2.07,0.25,0.05,2,6.8,8.9,38.7,13,2,30,1.3,2.12,-0.224951054,0.974370065,347,2.6,2.2,44
2022/1/1 16:04,23.5,2.09,0.29,0.06,2,8.6,10.7,38.2,20,7,38,1.5,2.15,-0.258819045,0.965925826,345,2,2.2,36
2022/1/1 17:02,22,2.14,0.45,0.15,1.6,16.9,18.6,28.1,33,18,52,1.7,2.29,-0.173648178,0.984807753,350,1.6,1.4,35
2022/1/1 18:00,19.7,2.15,0.39,0.13,1.5,18,19.5,26,39,23,72,1.7,2.28,-0.258819045,0.965925826,345,2.4,2,35
