time,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,aqi,truetime,month,hour
44927,17.9,2.21,0.45,0.13,0.8,14,14.9,13.9,30,14,0,81,1.9,2.34,285,260,0.8,0.2,28,2023/1/1 00:00,1,0
44927.04,17.7,2.18,0.42,0.12,0.6,15.7,16.4,12.4,27,21,0,85,1.2,2.3,319,308,0.9,0.2,31,2023/1/1 00:57,1,1
44927.08,17.6,2.22,0.46,0.14,0.4,15,15.5,11.3,29,20,0,86,1.1,2.36,176,159,0.2,0.1,38,2023/1/1 01:55,1,2
44927.13,17.2,2.2,0.5,0.14,1.3,17.9,19.2,4.3,36,27,0,89,1.1,2.34,136,135,0.7,0.8,44,2023/1/1 03:07,1,3
44927.17,17,2.22,0.46,0.13,1.1,15.8,17,5.7,32,28,0,90,0.9,2.35,256,278,1.5,0.6,54,2023/1/1 04:04,1,4
44927.21,17,2.26,0.44,0.12,1,14.8,15.8,7,26,20,0,92,0.8,2.38,236,131,0.3,0.2,61,2023/1/1 05:02,1,5
44927.25,17.3,2.28,0.49,0.2,1.5,16.1,17.6,5.2,35,28,0,90,1,2.48,140,129,0.3,0.2,61,2023/1/1 06:00,1,6
44927.29,17.4,2.37,0.64,0.28,6.6,19,25.7,2.3,38,32,0,90,1,2.65,222,194,0.2,0.1,66,2023/1/1 06:57,1,7
44927.33,17.6,2.7,0.7,0.29,11.8,18.3,30.2,3.2,41,38,0,92,1,2.99,216,232,0.2,0,69,2023/1/1 07:55,1,8
44927.38,18,2.94,0.75,0.27,10.3,17.9,28.3,6.7,48,39,0.5,91,1.1,3.21,263,264,0.8,0.4,75,2023/1/1 09:07,1,9
44927.42,18.7,2.48,0.66,0.24,9.9,19.7,29.6,13,42,32,0,89,1.3,2.72,274,207,0.4,0.5,84,2023/1/1 10:04,1,10
44927.46,20.1,2.24,0.56,0.16,6.2,19.3,25.6,22.1,33,25,0,84,1.3,2.4,309,316,1,0.7,88,2023/1/1 11:02,1,11
44927.5,21,2.12,0.4,0.1,2.5,12.4,14.9,28.6,28,19,0,81,1.6,2.22,323,257,0.4,0.3,87,2023/1/1 12:00,1,12
44927.54,21.2,2.15,0.43,0.1,2.1,13.3,15.4,29.9,44,23,0,80,1.7,2.25,274,285,1.2,1.3,82,2023/1/1 12:57,1,13
44927.58,21.4,2.11,0.4,0.09,1.5,12.7,14.2,33.7,36,22,0,78,1.4,2.2,322,324,0.6,0.3,77,2023/1/1 13:55,1,14
44927.63,21.5,2.1,0.37,0.08,1.1,12.3,13.5,33.4,36,15,0,79,1.3,2.18,347,338,1.1,0.5,74,2023/1/1 15:07,1,15
44927.67,20.9,2.07,0.31,0.05,0.6,12,12.7,31.9,47,18,0,81,1,2.12,340,351,1.4,1.3,70,2023/1/1 16:04,1,16
44927.71,20.4,2.11,0.39,0.09,0.5,13.1,13.7,26.8,44,16,0,84,0.9,2.2,2,342,1.6,0.8,69,2023/1/1 17:02,1,17
44927.75,20.1,2.09,0.44,0.11,0.4,15,15.5,23.3,48,17,0,85,1.1,2.2,310,3,1,0.8,66,2023/1/1 18:00,1,18
44927.79,19.7,2.11,0.42,0.1,0.5,14.9,15.5,21.9,44,19,0,86,1.1,2.21,357,80,0.9,0.7,63,2023/1/1 18:57,1,19
44927.83,19.5,2.13,0.42,0.11,0.5,15.8,16.3,18.8,43,16,0,87,1.1,2.24,318,352,0.5,0.7,63,2023/1/1 19:55,1,20
44927.88,19.5,2.15,0.41,0.1,0.5,15.3,15.9,17.4,38,16,0,86,1.3,2.25,334,38,0.8,0.4,60,2023/1/1 21:07,1,21
44927.92,19.4,2.19,0.42,0.11,0.6,16.3,16.9,14.8,33,13,0,85,1.4,2.3,343,296,1.4,0.3,58,2023/1/1 22:04,1,22
44927.96,19.2,2.19,0.42,0.11,0.8,18,18.9,11.9,32,14,0.5,85,1.4,2.3,317,304,0.9,0.4,55,2023/1/1 23:02,1,23
44928,18.8,2.21,0.43,0.12,0.5,17.9,18.4,10.5,28,12,0,88,1.3,2.33,37,84,1.2,0.1,52,2023/1/2 00:00,1,0
44928.04,18.6,2.27,0.36,0.12,0.5,15.5,16,11.6,23,13,0,88,1.2,2.39,322,5,1.3,0.7,49,2023/1/2 00:57,1,1
44928.08,18.6,2.14,0.28,0.07,0.5,11.5,12.1,16.4,29,9,0,87,1.3,2.21,4,21,0.7,0.6,47,2023/1/2 01:55,1,2
44928.13,18.4,2.16,0.28,0.08,0.3,10.7,11.1,14.9,20,9,0.5,88,1.2,2.24,84,84,0.2,0.3,44,2023/1/2 03:07,1,3
44928.17,17.9,2.23,0.28,0.11,0.5,11.5,12.1,10.4,20,6,1.5,94,1,2.34,244,105,0.9,0.3,41,2023/1/2 04:04,1,4
44928.21,17.7,2.23,0.3,0.13,0.8,11.9,12.8,9.4,17,10,0,97,1,2.36,266,274,1.2,0.6,36,2023/1/2 05:02,1,5
44928.25,17.9,2.29,0.34,0.15,1,13.8,14.8,7.2,20,11,1,97,0.9,2.44,48,86,0.3,0.2,34,2023/1/2 06:00,1,6
44928.29,18.2,2.32,0.44,0.17,3.5,16.1,19.6,4.9,20,15,1,95,0.9,2.49,80,275,0.9,0,34,2023/1/2 06:57,1,7
44928.33,18.2,2.3,0.46,0.2,10.4,18.7,29.1,3.8,25,16,0.5,97,1,2.5,269,128,0.2,0.4,36,2023/1/2 07:55,1,8
44928.38,18.8,2.29,0.57,0.22,12.6,18.4,31.1,6.9,23,18,0,96,1,2.51,72,312,1.6,0.6,41,2023/1/2 09:07,1,9
44928.42,19.5,2.13,0.4,0.14,9.7,15.2,24.9,10.9,23,13,0,90,1,2.27,304,19,0.7,1.2,44,2023/1/2 10:04,1,10
44928.46,20.1,2.09,0.31,0.09,5,11,16.1,18.6,21,10,0.5,86,0.8,2.18,325,334,1.7,1.4,45,2023/1/2 11:02,1,11
44928.5,20.3,2.04,0.26,0.07,2.3,9.1,11.5,24.7,18,7,0,85,0.7,2.11,1,9,2,1.5,42,2023/1/2 12:00,1,12
44928.54,20.3,2.06,0.27,0.06,1.6,9.3,11,27.2,24,11,0,86,0.9,2.12,341,327,1.3,1.1,38,2023/1/2 12:57,1,13
44928.58,20.4,2.07,0.32,0.08,2,12,14,24.3,31,14,0,85,0.8,2.15,322,323,2,1.5,35,2023/1/2 13:55,1,14
44928.63,20.4,2.06,0.3,0.07,1.5,11.3,12.9,29.1,37,19,0,85,0.9,2.13,358,356,2.2,1.6,36,2023/1/2 15:07,1,15
44928.67,20.4,2.08,0.34,0.08,1.4,11.5,13,28.8,39,19,0,85,0.9,2.16,346,334,1.5,1.5,41,2023/1/2 16:04,1,16
44928.71,19.7,2.09,0.38,0.11,0.7,15.5,16.2,23.8,40,19,0,86,1,2.2,346,356,1.8,1.5,47,2023/1/2 17:02,1,17
44928.75,18.9,2.09,0.39,0.11,0.4,15.3,15.8,23.9,32,20,0,87,1.1,2.2,348,1,1.8,1.7,52,2023/1/2 18:00,1,18
