time,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,aqi
44562.0,15.4,2.24,0.44,0.17,1.5,21.7,23.3,6.8,41,27,0,78,2.1,2.41,269,278,1.9,1.4,54.0
44562.04,15.1,2.29,0.45,0.17,1.9,21.2,23.2,7.1,45,31,0,80,2.1,2.46,277,318,1.1,1,60.0
44562.08,15.8,2.22,0.45,0.14,1.7,21.7,23.5,9.3,41,28,0,78,2,2.36,11,112,1.1,0.3,67.0
44562.13,15.5,2.85,0.47,0.19,2,21.3,23.3,5.4,42,31,0,79,1.8,3.04,145,226,0.9,0.4,71.0
44562.17,15.3,2.47,0.49,0.23,2.9,22.7,25.6,1.5,47,35,0,81,1.8,2.7,200,260,1.1,0.4,75.0
44562.21,15,2.38,0.45,0.2,2.7,21.4,24.1,2,41,32,0,83,1.6,2.58,268,68,0.4,0.6,79.0
44562.25,16,2.33,0.41,0.16,2.1,20.7,22.9,7,29,22,0,79,1.8,2.49,9,359,1.3,0.7,81.0
44562.29,16.5,2.23,0.44,0.15,3.5,18.8,22.4,9.9,26,18,0,78,2.1,2.38,32,56,1.5,1.1,79.0
44562.33,17.5,2.19,0.47,0.15,5.6,15.5,21.1,13.7,38,22,0,75,1.6,2.34,40,17,1.7,1.2,75.0
44562.38,18.8,2.14,0.38,0.11,4.5,13.7,18.2,24.9,26,14,0,66,1.4,2.25,15,17,2.9,1.7,72.0
44562.42,20.2,2.1,0.29,0.06,2.8,9,11.8,35.6,14,12,0,56,1.4,2.16,14,5,2.5,2.3,67.0
44562.46,21.7,2.08,0.26,0.04,2.6,7.1,9.8,40.7,19,11,0,44,1.3,2.12,8,17,3.1,2.8,63.0
44562.5,22.6,2.07,0.25,0.04,2.1,5.7,7.9,42.9,20,11,0,37,1.4,2.11,17,13,3.2,2.9,60.0
44562.54,23.4,2.07,0.25,0.05,2.2,6.5,8.8,41.7,8,8,0,34,1.3,2.12,5,22,2.4,2.3,55.0
44562.58,24.2,2.07,0.25,0.07,2.1,6.7,8.9,41.7,9,4,0,31,1.3,2.14,5,13,2.6,2,50.0
44562.63,24.3,2.07,0.25,0.05,2,6.8,8.9,38.7,13,2,0,30,1.3,2.12,347,338,2.6,2.2,44.0
44562.67,23.5,2.09,0.29,0.06,2,8.6,10.7,38.2,20,7,0,38,1.5,2.15,345,350,2,2.2,36.0
44562.71,22,2.14,0.45,0.15,1.6,16.9,18.6,28.1,33,18,0,52,1.7,2.29,350,315,1.6,1.4,35.0
44562.75,19.7,2.15,0.39,0.13,1.5,18,19.5,26,39,23,0,72,1.7,2.28,345,343,2.4,2,35.0
44562.79,18.3,2.13,0.32,0.09,1.4,13.8,15.3,24.7,30,19,0,81,1.7,2.22,1,358,2.7,2.1,41.0
44562.83,17.8,2.14,0.33,0.1,1.4,14.2,15.7,20.2,29,15,0,82,1.6,2.24,15,289,0.4,1,47.0
44562.88,17.7,2.28,0.42,0.14,1.6,19.8,21.4,11.7,28,23,0,81,1.6,2.42,286,272,1.2,0.6,50.0
44562.92,16.9,2.49,0.55,0.26,3.7,21.8,25.6,4.9,32,20,0,82,1.5,2.75,121,122,0.6,0.6,53.0
44562.96,16.7,2.31,0.48,0.26,2.9,19.6,22.6,6,26,19,0,82,1.5,2.57,49,120,1.4,0.5,53.0
44563.0,16.1,2.48,0.56,0.36,3.7,18.9,22.6,1.5,33,20,0,83,1.3,2.84,135,140,1.1,1.2,54.0
44563.04,15.4,2.28,0.45,0.2,3.2,18.4,21.6,0.9,31,25,0,87,1.3,2.48,247,266,0.7,0.3,56.0
44563.08,15,2.44,0.45,0.14,3.5,17,20.6,0.9,32,18,0,88,1.2,2.58,277,231,0.5,0.8,59.0
44563.13,15.1,2.41,0.42,0.29,3.1,15.2,18.3,1.6,28,21,0,84,1.5,2.7,123,128,1,0.9,59.0
44563.17,14.8,2.58,0.4,0.36,3.7,13.8,17.5,1.3,22,15,0,84,1.5,2.94,121,123,1.2,1.1,62.0
44563.21,14.5,2.63,0.42,0.28,3.8,12.7,16.5,1.3,31,25,0,85,1.5,2.91,137,217,0.4,1,61.0
44563.25,14.2,2.55,0.47,0.25,7.3,12.5,19.9,0.7,25,22,0,87,1.4,2.8,163,260,0.4,0.2,62.0
44563.29,14.5,2.51,0.59,0.34,15.3,12.4,27.8,2.6,30,25,0,85,1.4,2.85,140,128,0.9,0.3,63.0
44563.33,16.5,2.37,0.53,0.27,10.1,13.6,23.8,10,19,16,0,76,1.6,2.64,113,241,0.5,0.5,65.0
44563.38,18.7,2.35,0.64,0.27,9.1,18.5,27.7,20.8,25,22,0,66,1.6,2.62,237,219,0.8,0.8,65.0
44563.42,21.7,2.15,0.35,0.1,4.7,12.2,16.9,32.7,29,11,0,51,1.6,2.25,324,338,2.1,0.7,64.0
44563.46,23.2,2.08,0.24,0.02,2.4,5.7,8.1,38.5,11,12,0,44,1.5,2.1,333,325,3.2,2.1,60.0
44563.5,23.9,2.08,0.24,0.03,1.6,5.3,6.9,44.3,17,6,0,45,1.7,2.11,343,338,3.1,2.3,55.0
44563.54,24.2,2.09,0.24,0.02,1.4,5.4,6.9,47.7,17,8,0,47,1.8,2.11,342,347,3.2,2.4,50.0
44563.58,24.3,2.09,0.25,0.03,1.3,6,7.4,49.3,15,8,0,47,1.6,2.12,344,338,3.3,2.8,42.0
44563.63,23.7,2.1,0.27,0.04,1.6,7.7,9.4,48.3,27,12,0,49,1.7,2.14,340,334,3.1,2.5,40.0
44563.67,22.3,2.12,0.32,0.06,1.8,10.8,12.7,41.9,38,17,0,56,1.8,2.18,336,335,2.7,2.3,38.0
44563.71,20.8,2.15,0.38,0.09,1,12.8,13.9,34.1,34,17,0,61,1.9,2.24,333,336,1.9,1.5,43.0
44563.75,19.6,2.16,0.41,0.11,0.9,15.9,16.8,26.9,30,21,0,65,1.9,2.27,344,348,1.8,1.4,45.0
44563.79,18.7,2.16,0.4,0.09,1,15.3,16.3,24.7,27,16,0,69,2,2.25,3,347,1.8,1.4,51.0
44563.83,18.1,2.19,0.4,0.08,0.8,16.9,17.7,21.3,20,18,0,72,2,2.27,341,346,1.4,1.2,51.0
44563.88,17.8,2.22,0.41,0.1,0.8,17.5,18.4,18.2,27,18,0,74,1.7,2.32,357,26,1.3,1,52.0
44563.92,17.4,2.27,0.5,0.18,1.8,22,23.8,9.1,23,19,0,77,1.6,2.45,127,236,0.7,0.4,52.0
44563.96,16.5,2.3,0.53,0.16,3.1,24.4,27.6,2.8,30,21,0,82,1.6,2.46,208,141,1.4,0.6,52.0
44564.0,16.2,2.26,0.51,0.14,2.4,24.1,26.6,3.4,34,17,0,83,1.6,2.4,140,170,0.7,1.1,55.0
44564.04,16.3,2.33,0.38,0.12,2.1,16.1,18.3,10.5,24,20,0,82,1.3,2.45,354,16,1.9,0.5,55.0
44564.08,16.3,2.19,0.28,0.06,1.4,9.6,11.1,21.9,18,15,0,82,1.5,2.25,0,357,1.1,1.2,57.0
44564.13,15.9,2.27,0.35,0.12,1.4,11.6,13,11.3,24,20,0,84,1.5,2.39,131,136,1.2,0.9,57.0
44564.17,15.4,2.32,0.42,0.16,2.1,14.8,17,4.8,28,18,0,85,1.4,2.48,142,144,1.5,1.2,57.0
44564.21,15.1,2.44,0.49,0.21,6.2,15.5,21.8,1.6,26,25,0,86,1.4,2.65,250,257,0.6,0.3,58.0
44564.25,14.7,2.44,0.6,0.25,18.5,14.5,33.1,0.2,29,29,0,87,1.4,2.69,266,268,1,0.9,60.0
44564.29,14.8,2.53,0.91,0.3,40.2,18.1,58.3,1.5,45,31,0,88,1.8,2.83,258,245,0.4,0.7,65.0
44564.33,16.5,2.52,1.12,0.41,42.3,26.9,69.3,3.8,64,47,0,83,2.6,2.93,234,234,0.7,0.7,70.0
44564.38,19.3,2.3,0.86,0.29,37.3,31.2,68.6,11.8,54,32,0,69,2.6,2.59,272,329,1.2,0.2,82.0
44564.42,21.9,2.16,0.46,0.18,21.3,23.1,44.5,22.4,45,19,0,55,2.1,2.34,317,317,2,1.4,86.0
44564.46,23.2,2.13,0.36,0.14,5.2,13.9,19.1,39.4,36,18,0,48,2,2.27,344,10,3,2.2,83.0
44564.5,24,2.12,0.32,0.1,3,9.4,12.4,48.3,25,11,0,43,1.5,2.22,348,349,3.1,2.5,78.0
44564.54,24.4,2.11,0.31,0.06,2.4,8.2,10.6,54.3,34,16,0,42,1.6,2.17,343,327,3.4,2.5,67.0
44564.58,24.7,2.13,0.35,0.09,2.5,10,12.5,60.6,44,24,0,43,1.8,2.22,334,333,2.6,2.4,61.0
44564.63,24.3,2.16,0.42,0.15,2.7,13.8,16.5,62.8,54,22,0,49,1.9,2.31,337,353,3.2,2.2,64.0
44564.67,22.5,2.17,0.43,0.16,1.9,14.2,16.1,60.7,53,28,0,58,2.1,2.33,346,359,2.6,2.5,65.0
44564.71,21.2,2.2,0.55,0.23,1.5,19.1,20.7,45.8,54,30,0,64,2,2.43,346,322,1.1,1.3,71.0
44564.75,20.3,2.24,0.7,0.27,1.5,27,28.5,31.9,56,33,0,68,2.2,2.51,332,331,1.1,1.1,76.0
44564.79,19.6,2.27,0.67,0.27,1.5,29,30.5,26.1,56,33,0,72,2.3,2.54,353,339,1.5,1.1,79.0
44564.83,19,2.26,0.64,0.27,1.6,28.2,29.9,20.9,57,38,0,74,2.3,2.53,351,354,1,1.1,83.0
44564.88,18.5,2.34,0.82,0.51,3.2,36.1,39.4,6.5,56,42,0,77,2.2,2.85,142,235,0.6,0.3,85.0
44564.92,17.6,2.35,0.78,0.47,5.4,35,40.4,2.9,61,42,0,82,1.8,2.82,242,239,0.9,0.8,90.0
44564.96,17.1,2.44,0.69,0.34,3.9,30.6,34.6,3.4,65,45,0,84,1.9,2.78,184,264,0.9,0.3,95.0
44565.0,16.8,2.44,0.7,0.4,3.1,30.7,33.8,2.1,67,40,0,85,1.7,2.84,198,128,0.9,0.2,102.0
44565.04,16.7,2.54,0.71,0.61,5.2,24.8,30.1,1.1,55,40,0,84,2.1,3.15,143,222,0.5,0.3,106.0
44565.08,15.8,2.5,0.71,0.45,7,22.2,29.3,0.1,56,36,0,87,1.6,2.95,204,136,1.5,0.6,108.0
44565.13,15.7,2.44,0.63,0.4,4.1,19.6,23.7,1.3,49,41,0,87,1.5,2.84,129,122,0.4,0.5,107.0
44565.17,15.7,2.57,0.63,0.5,3.2,19.2,22.5,1.2,54,38,0,87,1.6,3.07,123,120,0.9,0.7,108.0
44565.21,15.3,2.61,0.67,0.51,9.5,16.6,26.2,0.9,45,33,0,87,1.6,3.12,251,257,0.4,0.4,109.0
44565.25,14.6,2.72,0.9,0.52,26.2,16.3,42.5,0.2,51,39,0,89,1.6,3.24,244,145,0.5,0.5,107.0
44565.29,15.3,2.67,1.19,0.69,48,19.3,67.4,1,62,51,0,86,2.1,3.36,186,248,0.8,0.4,108.0
44565.33,16.5,2.58,1.28,0.72,71.1,29.7,100.9,2.5,80,59,0,83,2.5,3.3,257,257,0.7,0.8,113.0
44565.38,18.7,2.44,1.11,0.53,32.9,39.6,72.6,11.8,50,37,0,72,2.5,2.97,231,233,1,0.4,123.0
44565.42,20.9,2.23,0.78,0.34,16.2,31.6,47.9,22.7,43,26,0,61,2.5,2.57,278,264,1.5,0.3,123.0
44565.46,22.8,2.13,0.46,0.22,8.9,20.8,29.8,35.1,24,19,0,52,2.3,2.35,314,306,1.8,0.8,117.0
44565.5,24.2,2.11,0.36,0.18,3.7,14.9,18.6,46.9,24,9,0,48,1.7,2.29,319,303,2.5,1.3,104.0
44565.54,25.1,2.12,0.34,0.12,7.3,18.4,25.8,46.8,33,19,0,50,1.8,2.24,308,316,1.9,2,85.0
44565.58,25.3,2.1,0.32,0.13,3.7,16,19.8,53.2,32,16,0,52,1.9,2.23,326,328,1.8,1.8,77.0
44565.63,24.7,2.11,0.33,0.14,4.8,19.2,24,49.1,42,18,0,58,2,2.25,326,331,1.8,2,72.0
